Key	Value
[NAME]成功引动了玉枢使护法之力，化为神国护法。	[NAME] successfully comprehended the power of Cardinal Messenger and turned them into a Divine Realm Guard.
[NAME]成功引动了天人护法之力，化为神国护法。	[NAME] successfully comprehended the power of Deva and turned them into a Divine Realm Guard.
[NAME]成功引动了龙王护法之力，化为神国护法。	[NAME] successfully comprehended the power of Naga and turned them into a Divine Realm Guard.
[NAME]成功引动了夜叉护法之力，化为神国护法。	[NAME] successfully comprehended the power of Yaksha and turned them into a Divine Realm Guard.
[NAME]成功引动了乾达婆护法之力，化为神国护法。	[NAME] successfully comprehended the power of Gandharva and turned them into a Divine Realm Guard.
[NAME]成功引动了阿修罗护法之力，化为神国护法。	[NAME] successfully comprehended the power of Asura and turned them into a Divine Realm Guard.
[NAME]成功引动了迦楼罗护法之力，化为神国护法。	[NAME] successfully comprehended the power of Garuda and turned them into a Divine Realm Guard.
[NAME]成功引动了紧那罗护法之力，化为神国护法。	[NAME] successfully comprehended the power of Kinnara and turned them into a Divine Realm Guard.
[NAME]成功引动了摩乎罗伽护法之力，化为神国护法。	[NAME] successfully comprehended the power of Mahoraga and turned them into a Divine Realm Guard.
[NAME]成功引动了通幽判官护法之力，化为神国护法。	[NAME] successfully comprehended the power of Nether Judge and turned them into a Divine Realm Guard.
[NAME]成功引动了黑衣无常护法之力，化为神国护法。	[NAME] successfully comprehended the power of Black Judge and turned them into a Divine Realm Guard.
[NAME]成功引动了白袍无常护法之力，化为神国护法。	[NAME] successfully comprehended the power of White Judge and turned them into a Divine Realm Guard.
[NAME]成功引动了牛头幽使护法之力，化为神国护法。	[NAME] successfully comprehended the power of Ox-Head Messenger and turned them into a Divine Realm Guard.
[NAME]成功引动了马面鬼将护法之力，化为神国护法。	[NAME] successfully comprehended the power of Horse-Face Sergeant and turned them into a Divine Realm Guard.
[NAME]成功引动了引渡人护法之力，化为神国护法。	[NAME] successfully comprehended the power of Ferryman and turned them into a Divine Realm Guard.
[NAME]成功引动了阴山卫护法之力，化为神国护法。	[NAME] successfully comprehended the power of Darkmountain Guardian and turned them into a Divine Realm Guard.
[NAME]成功引动了贪狼星护法之力，化为神国护法。	[NAME] successfully comprehended the power of Dubhe and turned them into a Divine Realm Guard.
[NAME]成功引动了七杀星护法之力，化为神国护法。	[NAME] successfully comprehended the power of Polis and turned them into a Divine Realm Guard.
[NAME]成功引动了破军星护法之力，化为神国护法。	[NAME] successfully comprehended the power of Alkaid and turned them into a Divine Realm Guard.
[NAME]成功引动了赤灵护法之力，化为神国护法。	[NAME] successfully comprehended the power of Crimson Spirit and turned them into a Divine Realm Guard.
[NAME]成功引动了白灵护法之力，化为神国护法。	[NAME] successfully comprehended the power of White Spirit and turned them into a Divine Realm Guard.
[NAME]成功引动了黄灵护法之力，化为神国护法。	[NAME] successfully comprehended the power of Yellow Spirit and turned them into a Divine Realm Guard.
[NAME]成功引动了黑灵护法之力，化为神国护法。	[NAME] successfully comprehended the power of Black Spirit and turned them into a Divine Realm Guard.
[NAME]成功引动了青灵护法之力，化为神国护法。	[NAME] successfully comprehended the power of Azure Spirit and turned them into a Divine Realm Guard.
[NAME]成功引动了海灵护法之力，化为神国护法。	[NAME] successfully comprehended the power of Sea Spirit and turned them into a Divine Realm Guard.
[NAME]成功引动了山灵护法之力，化为神国护法。	[NAME] successfully comprehended the power of Mountain Spirit and turned them into a Divine Realm Guard.
[NAME]成功引动了花灵护法之力，化为神国护法。	[NAME] successfully comprehended the power of Flower Spirit and turned them into a Divine Realm Guard.
[NAME]成功引动了巨灵护法之力，化为神国护法。	[NAME] successfully comprehended the power of Giant Spirit and turned them into a Divine Realm Guard.
[NAME]成功引动了金精护法之力，化为神国护法。	[NAME] successfully comprehended the power of Metal Sprite and turned them into a Divine Realm Guard.
[NAME]成功引动了木精护法之力，化为神国护法。	[NAME] successfully comprehended the power of Wood Sprite and turned them into a Divine Realm Guard.
[NAME]成功引动了水精护法之力，化为神国护法。	[NAME] successfully comprehended the power of Water Sprite and turned them into a Divine Realm Guard.
[NAME]成功引动了火精护法之力，化为神国护法。	[NAME] successfully comprehended the power of Fire Essence and turned them into a Divine Realm Guard.
[NAME]成功引动了土精护法之力，化为神国护法。	[NAME] successfully comprehended the power of Earth Sprite and turned them into a Divine Realm Guard.
[NAME]成功引动了土煞护法之力，化为神国护法。	[NAME] successfully comprehended the power of Earth Fiend and turned them into a Divine Realm Guard.
[NAME]成功引动了木煞护法之力，化为神国护法。	[NAME] successfully comprehended the power of Wood Fiend and turned them into a Divine Realm Guard.
[NAME]成功引动了金煞护法之力，化为神国护法。	[NAME] successfully comprehended the power of Metal Fiend and turned them into a Divine Realm Guard.
[NAME]成功引动了湖精护法之力，化为神国护法。	[NAME] successfully comprehended the power of Lake Sprite and turned them into a Divine Realm Guard.
[NAME]成功引动了晶精护法之力，化为神国护法。	[NAME] successfully comprehended the power of Crystal Sprite and turned them into a Divine Realm Guard.
[NAME]成功引动了岩精护法之力，化为神国护法。	[NAME] successfully comprehended the power of Rock Sprite and turned them into a Divine Realm Guard.
[NAME]成功引动了火煞护法之力，化为神国护法。	[NAME] successfully comprehended the power of Fire Fiend and turned them into a Divine Realm Guard.
[NAME]成功引动了水煞护法之力，化为神国护法。	[NAME] successfully comprehended the power of Water Fiend and turned them into a Divine Realm Guard.
[NAME]成功引动了风精护法之力，化为神国护法。	[NAME] successfully comprehended the power of Wind Sprite and turned them into a Divine Realm Guard.
[NAME]成功引动了风煞护法之力，化为神国护法。	[NAME] successfully comprehended the power of Wind Fiend and turned them into a Divine Realm Guard.
[NAME]成功引动了岩煞护法之力，化为神国护法。	[NAME] successfully comprehended the power of Rock Fiend and turned them into a Divine Realm Guard.
[NAME]成功引动了韧煞护法之力，化为神国护法。	[NAME] successfully comprehended the power of Pliable Fiend and turned them into a Divine Realm Guard.
[NAME]成功引动了木罡护法之力，化为神国护法。	[NAME] successfully comprehended the power of Wood Guardian and turned them into a Divine Realm Guard.
[NAME]成功引动了水罡护法之力，化为神国护法。	[NAME] successfully comprehended the power of Water Guardian and turned them into a Divine Realm Guard.
[NAME]成功引动了金罡护法之力，化为神国护法。	[NAME] successfully comprehended the power of Metal Guardian and turned them into a Divine Realm Guard.
[NAME]成功引动了火罡护法之力，化为神国护法。	[NAME] successfully comprehended the power of Fire Guardian and turned them into a Divine Realm Guard.
[NAME]成功引动了土罡护法之力，化为神国护法。	[NAME] successfully comprehended the power of Earth Guardian and turned them into a Divine Realm Guard.
[NAME]无法参悟此中奥义。	[NAME] could not comprehend the profundity.
[NAME]成功参悟了体修奥义	[NAME] successfully comprehended the profundity.
[NAME]还是决定放弃参悟奥义。	[NAME] decided to give up on comprehending the profundity.
